road_name,year,road_type,all_motor_vehicles,LGVs,all_HGVs,cars_and_taxis,lgv_share,road_length_km,count_points,log_road_length,log_total_traffic,collision_count,fatal_count,serious_count,slight_count,severe_count
A5079,2021,A road,9413,914,135,8289,0.09709975565707,1.6,1,0.47000362924573563,9.14984699154722,2,0,0,2,0
A5079,2022,A road,10065,991,139,8853,0.09846000993541977,1.6,1,0.47000362924573563,9.216819338073892,2,0,1,1,1
A5079,2023,A road,10247,1008,137,9020,0.09837025470869523,1.6,1,0.47000362924573563,9.234740258799718,3,0,1,2,1
A5079,2024,A road,11597,968,74,10511,0.08346986289557644,1.6,1,0.47000362924573563,9.358501722956703,4,0,1,3,1
A5081,2017,A road,19871.666666666668,3423.6666666666665,1886.3333333333333,14295.333333333334,0.17023576752177613,4.3999999999999995,3,1.4816045409242153,9.897050210572123,16,0,6,10,6
A5081,2018,A road,19802,3487.6666666666665,1925.3333333333333,14138,0.17405677603307296,5,3,1.6094379124341003,9.89353822168246,12,0,4,8,4
A5081,2019,A road,19952.666666666668,3457.3333333333335,1934.6666666666667,14315.333333333334,0.17123440088116854,5,3,1.6094379124341003,9.901118080887393,15,0,4,11,4
A5081,2020,A road,14005.333333333334,3114,1824.3333333333333,8913.666666666666,0.21530131035256594,5,3,1.6094379124341003,9.547193488434413,4,0,1,3,1
A5081,2021,A road,15331,3394.6666666666665,1956,9819.666666666666,0.21434593959563245,5,3,1.6094379124341003,9.637632201310455,7,0,1,6,1
A5081,2022,A road,19566,3617,1780.6666666666667,13980.333333333334,0.1921732243816221,5,3,1.6094379124341003,9.881548645017373,7,0,2,5,2
A5081,2023,A road,19847.333333333332,3678.3333333333335,1738.3333333333333,14243,0.19260000598816376,5,3,1.6094379124341003,9.895824936200782,5,0,1,4,1
A5081,2024,A road,20103.666666666668,3744,1710,14459,0.19347177226023776,5,3,1.6094379124341003,9.908657498637636,11,0,5,6,5
A5082,2017,A road,12459.5,2185.1666666666665,390,9757.833333333334,0.17239135227187738,6.5,6,1.8718021769015913,9.430238663125364,16,0,6,10,6
A5082,2018,A road,11902.333333333334,1966.8333333333333,347,9444.5,0.16656829108727889,6.6,6,1.8870696490323797,9.38448973831013,5,1,1,3,2
A5082,2019,A road,12000.666666666666,1949.6666666666667,347,9562.833333333334,0.16377985841874768,6.6,6,1.8870696490323797,9.39271748278254,10,1,1,8,2
A5082,2020,A road,9752.333333333334,1597.8333333333333,380.5,7661,0.1626840970389731,6.6,6,1.8870696490323797,9.185261851599646,6,0,0,6,0
A5082,2021,A road,10847.666666666666,1769.1666666666667,411.6666666666667,8547.166666666666,0.162182333897703,6.6,6,1.8870696490323797,9.291705282077789,8,1,2,5,3
A5082,2022,A road,11602.666666666666,1918,426.1666666666667,9129.166666666666,0.1643858923855107,6.6,6,1.8870696490323797,9.358990235732406,2,0,1,1,1
A5082,2023,A road,11800.166666666666,1950.6666666666667,419.5,9300.666666666666,0.16439047132012577,6.6,6,1.8870696490323797,9.375868934647794,4,0,0,4,0
A5082,2024,A road,12675.333333333334,1968,407.6666666666667,10167.666666666666,0.15456574702442324,6.6,6,1.8870696490323797,9.447413126601422,6,0,3,3,3
A5102,2017,A road,16524.4,1871.8,287.6,14216.2,0.11252397163563892,8.9,5,2.186051276738094,9.712593355437415,10,0,3,7,3
A5102,2018,A road,16397.4,1907,290,14059.8,0.1155179768739898,9.2,5,2.2192034840549946,9.704878064658672,7,0,1,6,1
A5102,2019,A road,15962.6,1749.2,279,13800,0.10906932110223938,9.2,5,2.2192034840549946,9.678003765004021,6,2,1,3,3
A5102,2020,A road,12324.4,1558.2,251.4,10429.8,0.12545254575624243,9.2,5,2.2192034840549946,9.419336316184324,12,0,6,6,6
A5102,2021,A road,13548.2,1698.6,269.8,11490.6,0.12440101717730442,9.2,5,2.2192034840549946,9.514008976155242,7,0,0,7,0
A5102,2022,A road,14490.6,1841.6,279.4,12273,0.1261094833738208,9.2,5,2.2192034840549946,9.581255442324942,7,0,3,4,3
A5102,2023,A road,14761.8,1852.6,225,12585.6,0.12420462773303176,9.2,5,2.2192034840549946,9.59979804193853,2,0,2,0,2
A5102,2024,A road,14595.2,1745.8,186.4,12567.4,0.11912928479227773,9.2,5,2.2192034840549946,9.588447986517382,8,0,3,5,3
A5103,2017,A road,42376.36363636364,4336.909090909091,849.5454545454545,36244.72727272727,0.10601182764553459,10.5,11,2.3513752571634776,10.654346024374151,43,0,8,35,8
A5103,2018,A road,41085.27272727273,4591.909090909091,884.0909090909091,34748,0.1134295678229365,10.9,11,2.388762789235098,10.623405008465994,42,1,5,36,6
A5103,2019,A road,43932.818181818184,4828.818181818182,971.0909090909091,37284.454545454544,0.1115674795714276,10.9,11,2.388762789235098,10.69041688655841,38,0,5,33,5
A5103,2020,A road,30496.18181818182,4391.454545454545,1115.4545454545455,24438.090909090908,0.1426271954124334,10.9,11,2.388762789235098,10.325356768469925,17,0,0,17,0
A5103,2021,A road,32764.454545454544,4842.454545454545,1195.6363636363637,25986.81818181818,0.1395427454244626,10.9,11,2.388762789235098,10.3970995038592,25,1,5,19,6
A5103,2022,A road,38104.818181818184,4529,881.7272727272727,31902,0.11719965398533778,10.9,11,2.388762789235098,10.54809601458426,19,1,6,12,7
A5103,2023,A road,40893.454545454544,4353.818181818182,770.3636363636364,34976.454545454544,0.10866882618839487,10.9,11,2.388762789235098,10.618725293660377,26,0,9,17,9
A5103,2024,A road,41916.818181818184,4438,780.6363636363636,35884,0.1085317848653671,10.9,11,2.388762789235098,10.643442413962926,26,0,8,18,8
A5106,2017,A road,6986.5,1279.5,214.5,5365.5,0.18314081368704532,4.1,2,1.410986973710262,8.851734994520502,0,0,0,0,0
A5106,2018,A road,7023,1340,219.5,5340,0.19080183232278547,4.1,2,1.410986973710262,8.856945756159021,1,0,0,1,0
A5106,2019,A road,7039,1335.5,222.5,5352,0.18972962326870885,4.1,2,1.410986973710262,8.85922139360813,0,0,0,0,0
A5106,2020,A road,5341.5,1142.5,197.5,3908,0.2138919015423458,4.1,2,1.410986973710262,8.583261791385942,1,0,1,0,1
A5106,2021,A road,6769,1103.5,184.5,5401.5,0.16302296596335614,4.1,2,1.410986973710262,8.820108644508608,2,0,0,2,0
A5106,2022,A road,7303.5,1229,190,5797,0.16827569051189467,4.1,2,1.410986973710262,8.896108964290866,3,0,3,0,3
A5106,2023,A road,7462,1253.5,184.5,5940.5,0.16798337543750802,4.1,2,1.410986973710262,8.917578753781104,2,0,1,1,1
A5106,2024,A road,7554,1275.5,183.5,6012,0.16885112870529953,4.1,2,1.410986973710262,8.929832503272403,1,0,1,0,1
A5143,2017,A road,22261,2161,218,19727,0.09707560307263825,3.2,1,1.1631508098056809,10.010591547450328,2,0,0,2,0
A5143,2018,A road,22077,2201,219,19510,0.09969651673687548,3.3,1,1.1939224684724346,10.00229162159471,1,0,0,1,0
A5143,2019,A road,22298,2182,218,19755,0.0978563099829581,3.3,1,1.1939224684724346,10.012252267327517,1,0,0,1,0
A5143,2020,A road,14646,1838,126,12662,0.12549501570394647,3.3,1,1.1939224684724346,9.591922539621015,2,0,1,1,1
A5143,2021,A road,16110,2004,135,13950,0.12439478584729981,3.3,1,1.1939224684724346,9.68719547617102,1,0,1,0,1
A5143,2022,A road,17235,2172,140,14900,0.12602262837249784,3.3,1,1.1939224684724346,9.754697478950966,0,0,0,0,0
A5143,2023,A road,17550,2209,138,15180,0.12586894586894587,3.3,1,1.1939224684724346,9.772809228894012,0,0,0,0,0
A5143,2024,A road,17821,2249,139,15410,0.12619942764154649,3.3,1,1.1939224684724346,9.7881328161731,0,0,0,0,0
A5144,2017,A road,12375,1349,107,10840,0.10901010101010102,2,1,0.6931471805599453,9.423433587436891,1,0,0,1,0
A5144,2018,A road,12277,1374,108,10721,0.11191659200130324,2,1,0.6931471805599453,9.41548287218084,4,0,2,2,2
A5144,2019,A road,12397,1362,107,10855,0.10986528998951359,2,1,0.6931471805599453,9.425209786838147,1,0,0,1,0
A5144,2020,A road,9590,1202,94,8246,0.12533889468196038,2,1,0.6931471805599453,9.168476167877484,1,0,1,0,1
A5144,2021,A road,11793,1557,106,10036,0.13202747392520986,2,1,0.6931471805599453,9.37526141408997,0,0,0,0,0
A5144,2022,A road,12619,1687,110,10719,0.13368729693319598,2,1,0.6931471805599453,9.44295889365291,3,0,1,2,1
A5144,2023,A road,12847,1716,108,10920,0.13357204016501906,2,1,0.6931471805599453,9.46086560003161,2,0,0,2,0
A5144,2024,A road,13046,1747,109,11086,0.13391077724973172,2,1,0.6931471805599453,9.476236852356042,0,0,0,0,0
A5145,2017,A road,19179,2497,249.5,15938.375,0.12428989618301767,12,8,2.4849066497880004,9.861571209434837,29,0,6,23,6
A5145,2018,A road,17969.375,2013.125,254.375,15262.75,0.10951224643536707,12.3,8,2.509599262378372,9.796424198983555,27,0,7,20,7
A5145,2019,A road,19413.777777777777,2368.1111111111113,316.44444444444446,16322.333333333334,0.11565849549604243,12.7,9,2.5416019934645457,9.873738287713293,35,0,5,30,5
A5145,2020,A road,14818.666666666666,2071,279.1111111111111,12192.444444444445,0.13284597886439475,12.7,9,2.5416019934645457,9.603642926291647,20,0,2,18,2
A5145,2021,A road,16294,2192.8888888888887,258.44444444444446,13550.444444444445,0.12906946057511248,12.7,9,2.5416019934645457,9.698552220870587,18,0,3,15,3
