collision_index,collision_year,collision_ref_no,police_force,collision_severity,first_road_class,first_road_number,time,speed_limit,junction_detail,collision_ref_join,road_name,road_type,severity_text,severe,collision_hour,time_period,speed_group,junction_group,lgv_involved,young_driver_involved
2022061152166,2022,061152166,6,3,3,560,11:00:00,30,16,061152166,A560,A road,slight,0,11,daytime,30 mph or below,Crossroads or larger junction,0,0
201906A254622,2019,06A254622,6,3,3,6042,06:50:00,30,17,06A254622,A6042,A road,slight,0,6,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,1
202106M079987,2021,06M079987,6,3,3,5067,18:40:00,30,13,06M079987,A5067,A road,slight,0,18,evening_peak,30 mph or below,T or staggered junction,0,1
2023061351811,2023,061351811,6,3,3,6010,05:25:00,30,16,061351811,A6010,A road,slight,0,5,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,1
201806F145532,2018,06F145532,6,3,3,580,14:30:00,50,0,06F145532,A580,A road,slight,0,14,daytime,40 mph or above,No junction,0,0
201806L142255,2018,06L142255,6,2,3,49,06:05:00,30,0,06L142255,A49,A road,serious,1,6,night_or_off_peak,30 mph or below,No junction,0,0
202006P272337,2020,06P272337,6,3,3,664,16:15:00,40,0,06P272337,A664,A road,slight,0,16,evening_peak,40 mph or above,No junction,0,0
201806P350359,2018,06P350359,6,3,3,664,10:19:00,30,16,06P350359,A664,A road,slight,0,10,daytime,30 mph or below,Crossroads or larger junction,0,0
201706E037624,2017,06E037624,6,2,3,6,10:19:00,30,0,06E037624,A6,A road,serious,1,10,daytime,30 mph or below,No junction,0,0
201906E258515,2019,06E258515,6,1,3,34,23:20:00,40,0,06E258515,A34,A road,fatal,1,23,night_or_off_peak,40 mph or above,No junction,0,0
201706G025953,2017,06G025953,6,3,3,57,10:00:00,30,16,06G025953,A57,A road,slight,0,10,daytime,30 mph or below,Crossroads or larger junction,0,0
201706N037224,2017,06N037224,6,3,3,56,17:16:00,30,13,06N037224,A56,A road,slight,0,17,evening_peak,30 mph or below,T or staggered junction,0,0
2024061421661,2024,061421661,6,3,3,627,11:00:00,30,19,061421661,A627,A road,slight,0,11,daytime,30 mph or below,Other or unknown junction,0,1
201906Q153876,2019,06Q153876,6,2,3,669,23:45:00,30,13,06Q153876,A669,A road,serious,1,23,night_or_off_peak,30 mph or below,T or staggered junction,0,0
201706P033010,2017,06P033010,6,3,3,58,17:45:00,30,16,06P033010,A58,A road,slight,0,17,evening_peak,30 mph or below,Crossroads or larger junction,0,0
2021061092182,2021,061092182,6,3,1,66,20:20:00,70,0,061092182,M66,Motorway,slight,0,20,night_or_off_peak,40 mph or above,No junction,1,1
2021061050851,2021,061050851,6,3,3,62,08:35:00,30,13,061050851,A62,A road,slight,0,8,morning_peak,30 mph or below,T or staggered junction,0,0
201706X037737,2017,06X037737,6,3,1,67,21:25:00,70,0,06X037737,M67,Motorway,slight,0,21,night_or_off_peak,40 mph or above,No junction,0,0
201806E343088,2018,06E343088,6,3,3,6010,17:59:00,30,16,06E343088,A6010,A road,slight,0,17,evening_peak,30 mph or below,Crossroads or larger junction,0,0
2021061040600,2021,061040600,6,3,2,627,10:44:00,70,19,061040600,A627(M),A road,slight,0,10,daytime,40 mph or above,Other or unknown junction,0,0
2021061105326,2021,061105326,6,3,2,627,05:20:00,70,0,061105326,A627(M),A road,slight,0,5,night_or_off_peak,40 mph or above,No junction,0,0
201706F024942,2017,06F024942,6,1,3,57,18:13:00,50,0,06F024942,A57,A road,fatal,1,18,evening_peak,40 mph or above,No junction,0,0
201806P142303,2018,06P142303,6,3,3,680,17:39:00,50,0,06P142303,A680,A road,slight,0,17,evening_peak,40 mph or above,No junction,0,0
2022061171713,2022,061171713,6,3,3,57,19:00:00,30,13,061171713,A57,A road,slight,0,19,night_or_off_peak,30 mph or below,T or staggered junction,0,1
2021061043373,2021,061043373,6,3,3,6010,18:30:00,30,16,061043373,A6010,A road,slight,0,18,evening_peak,30 mph or below,Crossroads or larger junction,0,0
202006Q268610,2020,06Q268610,6,2,3,663,22:25:00,30,0,06Q268610,A663,A road,serious,1,22,night_or_off_peak,30 mph or below,No junction,0,0
201806P348978,2018,06P348978,6,3,3,664,14:30:00,30,0,06P348978,A664,A road,slight,0,14,daytime,30 mph or below,No junction,0,0
201706A032018,2017,06A032018,6,2,3,57,21:25:00,40,16,06A032018,A57,A road,serious,1,21,night_or_off_peak,40 mph or above,Crossroads or larger junction,0,1
201906E456329,2019,06E456329,6,3,3,5103,08:41:00,50,0,06E456329,A5103,A road,slight,0,8,morning_peak,40 mph or above,No junction,0,0
201706J039951,2017,06J039951,6,3,3,560,16:43:00,30,13,06J039951,A560,A road,slight,0,16,evening_peak,30 mph or below,T or staggered junction,0,0
201806A348199,2018,06A348199,6,3,3,665,15:00:00,30,13,06A348199,A665,A road,slight,0,15,daytime,30 mph or below,T or staggered junction,0,0
201706A035846,2017,06A035846,6,3,3,34,12:55:00,30,16,06A035846,A34,A road,slight,0,12,daytime,30 mph or below,Crossroads or larger junction,0,0
202006E271463,2020,06E271463,6,3,3,6010,15:43:00,30,16,06E271463,A6010,A road,slight,0,15,daytime,30 mph or below,Crossroads or larger junction,0,0
201806P151146,2018,06P151146,6,3,3,671,17:00:00,30,16,06P151146,A671,A road,slight,0,17,evening_peak,30 mph or below,Crossroads or larger junction,0,0
201906G164996,2019,06G164996,6,3,3,6043,19:25:00,30,16,06G164996,A6043,A road,slight,0,19,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,0
201906XE59036,2019,06XE59036,6,3,1,56,07:15:00,70,0,06XE59036,M56,Motorway,slight,0,7,morning_peak,40 mph or above,No junction,0,0
